geohash6,day,timestamp,demand
qp03wc,18,20:0,0.020071790937458638
qp03pn,10,14:30,0.024720973824962248
qp09sw,9,6:15,0.1028209630305961
qp0991,32,5:0,0.08875479879512088
qp090q,15,4:0,0.07446838607998965
qp03tu,1,12:15,0.023843140095447555
qp096d,25,3:30,0.007460442605732274
qp03nr,51,20:45,0.0002926078073538535
qp093r,48,6:15,0.05417026945027532
qp03r2,4,22:15,0.12346297776239995
qp09kb,45,9:15,0.026177137851266564
qp03rp,52,11:45,0.3594058680024252
qp03w9,46,12:15,0.5141364260243876
qp096m,34,14:45,0.05973996712236172
qp091u,40,2:30,0.026408691368504468
qp03md,14,14:45,0.013998466138292141
qp099z,27,3:30,0.008413960369765126
qp0990,6,23:45,0.029400141187935276
qp03mf,48,11:30,0.05725490104544065
qp09fu,17,23:45,0.11276151708068224
qp091w,56,10:0,0.008772107195795222
qp0dhw,52,11:0,0.1192404066620848
qp09fu,57,18:30,0.03354827208660687
qp09fh,21,6:0,0.04427684089776845
qp0961,52,13:0,0.0726228999471096
qp03zr,53,4:30,0.023048997891668064
qp09de,56,15:30,0.09077500523194557
qp09g8,21,4:15,0.1831380558209812
qp0d0k,17,9:0,0.00621523145331688
qp09m0,4,0:15,0.06086288527214932
qp03yx,17,21:15,0.029809075420798067
qp09u8,21,4:45,0.04099318739114195
qp09df,20,12:30,0.11252878501577004
qp0djh,28,12:0,0.03941133656297385
qp03rs,30,22:15,0.022194631681544088
qp03q7,4,14:15,0.08257024460213554
qp03wp,9,6:15,0.0263952099236276
qp09u3,11,9:30,0.0050383462377756975
qp094k,49,5:15,0.0696835601085159
qp09bd,36,5:0,0.040677541196779035
qp03wm,25,3:15,0.0691372125915995
qp0d0j,53,6:15,0.05125864548564449
qp093d,51,0:15,0.01943035280341689
qp09kz,39,16:30,0.16942206946551674
qp06nc,52,6:0,0.0023423397466505852
qp06pk,45,2:30,0.04667931194101317
qp03yv,20,14:30,0.016390767643588697
qp09bq,36,8:0,0.003371624814562615
qp09k0,7,11:15,0.05770752189054745
qp06pe,43,18:45,0.011646959142791095
qp03w7,52,16:0,0.019320514886335075
qp098e,32,2:15,0.12776073566368598
qp03q6,21,7:0,0.058922986386976337
qp06n8,4,3:30,0.012421394237890638
qp0925,16,18:0,0.051575714809656635
